# timestamp,resident_bytes,total_bytes,system_millis,user_millis
1618425782244,6053888,7344128,46,15
1618425783514,6053888,7344128,46,15
1618425784758,6053888,7344128,46,15
1618425785987,6053888,7344128,46,15
1618425787247,6053888,7344128,46,15
1618425788511,6053888,7344128,46,15
1618425789747,6053888,7344128,46,15
1618425790968,6053888,7344128,46,15
1618425792174,6053888,7344128,46,15
1618425793409,6053888,7344128,46,15
1618425794628,6053888,7344128,46,15
1618425795935,6053888,7344128,46,15
1618425797247,6053888,7344128,46,15
1618425798648,6053888,7344128,46,15
1618425799980,6053888,7344128,46,15
1618425801214,6053888,7344128,46,15
1618425802458,6053888,7344128,46,15
1618425803725,6053888,7344128,46,15
1618425804963,6053888,7344128,46,15
1618425806266,6053888,7344128,46,15
1618425807524,6053888,7344128,46,15
1618425808816,6053888,7344128,46,15
1618425810102,6053888,7344128,46,15
1618425811423,6053888,7344128,46,15
1618425812681,6053888,7344128,46,15
1618425813894,6053888,7344128,46,15
1618425815120,6053888,7344128,46,15
1618425816421,6053888,7344128,46,15
1618425817668,6053888,7344128,46,15
1618425818932,6053888,7344128,46,15
1618425820195,6053888,7344128,46,15
1618425821458,6053888,7344128,46,15
1618425822816,6053888,7344128,46,15
1618425824059,6053888,7344128,46,15
1618425825326,6053888,7344128,46,15
1618425826597,6053888,7344128,46,15
1618425827939,6053888,7344128,46,15
1618425829208,6053888,7344128,46,15
1618425830463,6053888,7344128,46,31
1618425831698,6053888,7344128,46,31
1618425832979,6053888,7344128,46,31
1618425834270,6053888,7344128,46,31
1618425835517,6053888,7344128,46,31
1618425836787,6053888,7344128,46,31
1618425838093,6053888,7344128,46,31
1618425839365,6053888,7344128,46,31
1618425840614,6053888,7344128,46,31
1618425841827,6053888,7344128,46,31
1618425843080,6033408,7266304,46,31
1618425844295,6033408,7266304,46,31
1618425845547,6033408,7266304,46,31
1618425846793,6033408,7266304,46,31
1618425848090,6033408,7266304,46,31
1618425849330,6033408,7266304,46,31
1618425850599,6033408,7266304,46,31
1618425851869,6033408,7266304,46,31
1618425853157,6033408,7266304,46,31
1618425854436,6033408,7266304,46,31
1618425855654,6033408,7266304,46,31
1618425856866,6033408,7266304,46,31
1618425858182,6033408,7266304,46,31
1618425859472,6033408,7266304,46,31
1618425860796,6033408,7266304,46,31
1618425862153,6033408,7266304,46,31
1618425863514,6033408,7266304,46,31
1618425864825,6033408,7266304,46,31
1618425866136,6033408,7266304,46,31
1618425867385,6033408,7266304,46,31
1618425868641,6033408,7266304,46,31
1618425869925,6033408,7266304,46,31
1618425871211,6033408,7266304,46,31
1618425872464,6033408,7266304,46,31
1618425873748,6033408,7266304,46,31
1618425875009,6033408,7266304,46,31
1618425876221,6033408,7266304,46,31
1618425877407,6033408,7266304,46,31
1618425878673,6033408,7266304,46,31
1618425879911,6033408,7266304,46,31
1618425881175,6033408,7266304,46,31
1618425882447,6033408,7266304,46,31
1618425883687,6033408,7266304,46,31
1618425884894,6033408,7266304,46,31
1618425886116,6033408,7266304,46,31
1618425887316,6033408,7266304,46,31
1618425888545,6033408,7266304,46,31
1618425889795,6033408,7266304,46,31
1618425891040,6033408,7266304,46,31
1618425892307,6033408,7266304,46,31
1618425893538,6033408,7266304,46,31
1618425894773,6033408,7266304,46,31
1618425896063,6033408,7266304,46,31
1618425897293,6033408,7266304,46,31
1618425898515,6033408,7266304,46,31
1618425899736,6033408,7266304,46,31
1618425900979,6033408,7266304,46,31
1618425902207,6033408,7266304,46,31
1618425903448,6033408,7266304,46,31
1618425904709,6033408,7266304,46,31
1618425905961,6033408,7266304,46,31
1618425907157,6033408,7266304,46,31
1618425908376,6033408,7266304,46,31
1618425909592,6033408,7266304,46,31
1618425910868,6033408,7266304,46,31
1618425912078,6033408,7266304,46,31
1618425913294,6033408,7266304,46,31
1618425914514,6033408,7266304,46,31
1618425915756,6033408,7266304,46,31
1618425916974,6033408,7266304,46,31
1618425918195,6033408,7266304,46,31
1618425919408,6033408,7266304,46,31
1618425920651,6033408,7266304,46,31
1618425921893,6033408,7266304,46,31
1618425923088,6033408,7266304,46,31
1618425924273,6033408,7266304,46,31
1618425925496,6033408,7266304,46,31
1618425926721,6033408,7266304,46,31
1618425928056,6033408,7266304,46,31
1618425929373,6033408,7266304,46,31
1618425930658,6033408,7266304,46,31
1618425931936,6033408,7266304,46,31
1618425933163,6033408,7266304,46,31
1618425934380,6033408,7266304,46,31
1618425935624,6033408,7266304,46,31
1618425936881,6033408,7266304,46,31
1618425938103,6033408,7266304,46,31
1618425939302,6033408,7266304,46,31
1618425940543,6033408,7266304,46,31
1618425941773,6033408,7266304,46,31
1618425942981,6033408,7266304,46,31
1618425944192,6033408,7266304,46,31
1618425945419,6033408,7266304,46,31
1618425946626,6033408,7266304,46,31
1618425947847,6033408,7266304,46,31
1618425949077,6033408,7266304,46,31
1618425950307,6033408,7266304,46,31
1618425951538,6033408,7266304,46,31
1618425952780,6033408,7266304,46,31
1618425954012,6033408,7266304,46,31
1618425955251,6033408,7266304,46,31
1618425956465,6033408,7266304,46,31
1618425957689,6033408,7266304,46,31
1618425958908,6033408,7266304,46,31
1618425960138,6033408,7266304,46,31
1618425961396,6033408,7266304,46,31
1618425962722,6033408,7266304,46,31
1618425963936,6033408,7266304,46,31
1618425965180,6033408,7266304,46,31
1618425966424,6033408,7266304,46,31
1618425967638,6033408,7266304,46,31
1618425968872,6033408,7266304,46,31
1618425970124,6033408,7266304,46,31
1618425971350,6033408,7266304,46,31
1618425972583,6033408,7266304,46,31
1618425973824,6033408,7266304,46,31
1618425975082,6033408,7266304,46,31
1618425976330,6033408,7266304,46,31
1618425977570,6033408,7266304,46,31
1618425978794,6033408,7266304,46,31
1618425980054,6033408,7266304,46,31
1618425981290,6033408,7266304,46,31
1618425982522,6033408,7266304,46,31
1618425983752,6033408,7266304,46,31
1618425984996,6033408,7266304,46,31
1618425986237,6033408,7266304,46,31
1618425987464,6033408,7266304,46,31
1618425988714,6033408,7266304,46,31
1618425989958,6033408,7266304,46,31
1618425991177,6033408,7266304,46,31
1618425992430,6033408,7266304,46,31
1618425993756,6033408,7266304,46,31
1618425995067,6033408,7266304,46,31
1618425996336,6033408,7266304,46,31
1618425997613,6033408,7266304,46,31
1618425998876,6033408,7266304,46,31
1618426000096,6033408,7266304,46,31
1618426001324,6033408,7266304,46,31
1618426002562,6033408,7266304,46,31
1618426003785,6033408,7266304,46,31
1618426005127,6033408,7266304,46,31
1618426006463,6033408,7266304,46,31
1618426007864,6033408,7266304,46,31
1618426009104,6021120,7221248,46,31
1618426010327,6021120,7221248,46,31
1618426011548,6021120,7221248,46,31
1618426012780,6021120,7221248,46,31
1618426014093,6021120,7221248,46,31
1618426015439,6021120,7221248,46,31
1618426016700,6021120,7221248,46,31
1618426017970,6021120,7221248,46,31
1618426019236,6021120,7221248,46,31
1618426020488,6021120,7221248,46,31
1618426021748,6021120,7221248,46,31
1618426023013,6021120,7221248,46,31
1618426024287,6021120,7221248,46,31
1618426025574,6021120,7221248,46,31
1618426026839,6021120,7221248,46,31
1618426028080,6021120,7221248,46,31
1618426029358,6021120,7221248,46,31
1618426030645,6021120,7221248,46,31
1618426031900,6021120,7221248,46,31
1618426033127,6021120,7221248,46,31
1618426034402,6021120,7221248,46,31
1618426035647,6021120,7221248,46,31
1618426036949,6021120,7221248,46,31
1618426038243,6021120,7221248,46,31
1618426039501,6021120,7221248,46,31
1618426040763,6021120,7221248,46,31
1618426042052,6021120,7221248,46,31
1618426043339,6021120,7221248,46,31
1618426044637,6021120,7221248,46,31
1618426045901,6021120,7221248,46,31
1618426047145,6021120,7221248,46,31
1618426048421,6021120,7221248,46,31
1618426049697,6021120,7221248,46,31
1618426050952,6021120,7221248,46,31
1618426052225,6021120,7221248,46,31
1618426053642,6021120,7221248,46,31
1618426054920,6021120,7221248,46,31
1618426056215,6021120,7221248,46,31
1618426057509,6021120,7221248,46,31
1618426058839,6021120,7221248,46,31
1618426060179,6021120,7221248,46,31
1618426061498,6021120,7221248,46,31
1618426062861,6021120,7221248,46,31
1618426064167,6021120,7221248,46,31
1618426065432,6021120,7221248,46,31
1618426066672,6021120,7221248,46,31
1618426067926,6021120,7221248,46,31
