# timestamp,line
1618426069442,1618426069432446976-56.30
1618426069442,1618426069432446976-20.60
1618426069442,1618426069432446976-65.60
1618426070447,1618426070432446976-77.20
1618426070447,1618426070432446976-20.40
1618426070447,1618426070432446976-22.00
1618426070447,1618426070432446976-63.50
1618426071441,1618426071432446976-22.50
1618426071441,1618426071432446976-23.70
1618426071441,1618426071432446976-62.20
1618426071441,1618426071432446976-76.80
1618426072442,1618426072432446976-68.10
1618426072442,1618426072432446976-23.00
1618426072443,1618426072432446976-22.00
1618426072443,1618426072432446976-84.90
1618426073435,1618426073432446976-73.60
1618426073435,1618426073432446976-81.00
1618426073435,1618426073432446976-24.50
1618426073435,1618426073432446976-24.20
1618426074444,1618426074432446976-26.10
1618426074444,1618426074432446976-89.70
1618426074444,1618426074432446976-24.30
1618426074445,1618426074432446976-72.90
1618426075441,1618426075432446976-76.40
1618426075441,1618426075432446976-25.30
1618426075441,1618426075432446976-22.70
1618426075441,1618426075432446976-93.30
1618426076441,1618426076432446976-74.80
1618426076441,1618426076432446976-78.70
1618426076441,1618426076432446976-24.80
1618426076441,1618426076432446976-19.90
1618426077434,1618426077432446976-22.90
1618426077434,1618426077432446976-17.30
1618426077434,1618426077432446976-59.40
1618426077434,1618426077432446976-74.30
1618426078435,1618426078432446976-19.30
1618426078435,1618426078432446976-20.00
1618426078435,1618426078432446976-50.00
1618426078435,1618426078432446976-61.70
1618426079435,1618426079432446976-55.30
1618426079435,1618426079432446976-19.70
1618426079435,1618426079432446976-20.50
1618426079435,1618426079432446976-59.40
1618426080434,1618426080432446976-21.00
1618426080436,1618426080432446976-63.10
1618426080436,1618426080432446976-58.80
1618426080436,1618426080432446976-19.50
1618426081446,1618426081432446976-21.50
1618426081446,1618426081432446976-56.30
1618426081446,1618426081432446976-20.60
1618426081446,1618426081432446976-65.60
1618426082446,1618426082432446976-20.40
1618426082446,1618426082432446976-63.50
1618426082450,1618426082432446976-77.20
1618426082450,1618426082432446976-22.00
1618426083444,1618426083432446976-22.50
1618426083444,1618426083432446976-76.80
1618426083444,1618426083432446976-23.70
1618426083445,1618426083432446976-62.20
1618426084444,1618426084432446976-22.00
1618426084444,1618426084432446976-84.90
1618426084444,1618426084432446976-23.00
1618426084444,1618426084432446976-68.10
1618426085440,1618426085432446976-73.60
1618426085440,1618426085432446976-24.50
1618426085440,1618426085432446976-24.20
1618426085440,1618426085432446976-81.00
1618426086444,1618426086432446976-89.70
1618426086444,1618426086432446976-26.10
1618426086446,1618426086432446976-24.30
1618426086446,1618426086432446976-72.90
1618426087443,1618426087432446976-25.30
1618426087443,1618426087432446976-22.70
1618426087443,1618426087432446976-76.40
1618426087443,1618426087432446976-93.30
1618426088443,1618426088432446976-74.80
1618426088443,1618426088432446976-19.90
1618426088443,1618426088432446976-78.70
1618426088443,1618426088432446976-24.80
1618426089441,1618426089432446976-22.90
1618426089441,1618426089432446976-74.30
1618426089441,1618426089432446976-59.40
1618426089441,1618426089432446976-17.30
1618426090439,1618426090432446976-19.30
1618426090440,1618426090432446976-61.70
1618426090440,1618426090432446976-50.00
1618426090440,1618426090432446976-20.00
1618426091439,1618426091432446976-59.40
